Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,dhid
Campbellfield,Electrical Training Academy,9/36 Merri Concourse,VIC,3061,2021-09-28,28/09/2021,8:00am - 1:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-03,03/10/2021,21:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:00:00,13:00:00,F3G4
Campbellfield,Electrical Training Academy,9/36 Merri Concourse,VIC,3061,2021-09-29,29/09/2021,8:00am - 1:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-03,03/10/2021,21:16:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:00:00,13:00:00,F8Q4
Morwell,Pets Domain Morwell,"""Shop 103 Mid Valley Shopping Centre"," 103 Princes Drive""VIC",3840,2021-09-28,28/09/2021,12:00pm - 2:00pm,Case attended venue,2021-10-03,03/10/2021,21:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,12:00:00,14:00:00,G5P3
Shepparton,MFS 24/7 Gym - Shepparton,93 Benalla Road,VIC,3630,2021-09-27,27/09/2021,4:30pm - 5:45pm,Case attended venue,2021-10-03,03/10/2021,21:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,16:30:00,17:45:00,F8Z8
Shepparton,MFS 24/7 Gym - Shepparton,93 Benalla Road,VIC,3630,2021-09-28,28/09/2021,4:00pm - 5:45pm,Case attended venue,2021-10-03,03/10/2021,21:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,16:00:00,17:45:00,G7Z7
Shepparton,MFS 24/7 Gym - Shepparton,93 Benalla Road,VIC,3630,2021-09-29,29/09/2021,4:30pm - 5:45pm,Case attended venue,2021-10-03,03/10/2021,21:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,16:30:00,17:45:00,G3M7
Echuca,Johnny & Lyles,433 High Street,VIC,3564,2021-09-28,28/09/2021,12:30pm - 2:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-03,03/10/2021,17:18:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:30:00,14:30:00,G2U4
Fitzroy North,FROEBEL Fitzroy North Early Learning Centre,138 Barkly Street,VIC,3068,2021-09-27,27/09/2021,8:00am - 4:00pm,Case attended venue,2021-10-03,03/10/2021,11:32:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,16:00:00,G3P3
Wangaratta,Country Buddies Wangaratta,1 Mason Strreet,VIC,3677,2021-09-29,29/09/2021,6:30am - 5:00pm,Case attended venue,2021-10-03,03/10/2021,10:37:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,17:00:00,G7X8
Cranbourne,Clarendon Street Community Child Care Centre,43A Clarendon Street,VIC,3977,2021-09-27,27/09/2021,6:30am - 1:00pm,Case attended venue,2021-10-02,02/10/2021,22:15:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,13:00:00,G2V7
Campbellfield,Olympic Caravans,81 Lara Way,VIC,3061,2021-09-27,27/09/2021,7:00am - 4:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,16:00:00,G8B4
Campbellfield,Olympic Caravans,81 Lara Way,VIC,3061,2021-09-28,28/09/2021,7:00am - 4:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,16:00:00,G7M9
Campbellfield,Carton Finishing,250 Rex Road,VIC,3061,2021-09-27,27/09/2021,7:00am - 2:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,14:00:00,F8Z7
Shepparton,Aussie Hotel,73 Fryers Street,VIC,3630,2021-09-28,28/09/2021,6:54pm - 8:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,18:54:00,20:30:00,F9R3
Airport West,Australia Post Airport West,78/29-35 Louis Street,VIC,3042,2021-09-28,28/09/2021,9:00am - 6:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:00:00,18:30:00,G6V4
Tullamarine,Amari Visual Solutions,38 Allied Drive,VIC,3045,2021-09-27,27/09/2021,7:45am - 11:00am,Case attended venue,2021-10-02,02/10/2021,21:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:45:00,11:00:00,F7J4
South Morang,My Chemist - Westfield Plenty Valley,415 McDonalds Road,VIC,3752,2021-09-24,24/09/2021,9:00am - 5:30pm,Case attended venue,2021-10-02,02/10/2021,21:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,17:30:00,F7B5
South Morang,My Chemist - Westfield Plenty Valley,415 McDonalds Road,VIC,3752,2021-09-25,25/09/2021,9:00am - 5:30pm,Case attended venue,2021-10-02,02/10/2021,21:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,17:30:00,G5V7
Kialla,Total Body Fit 24/7,7953 Goulburn Valley Highway,VIC,3631,2021-09-27,27/09/2021,5:00pm - 6:30pm,Case attended venue,2021-10-02,02/10/2021,21:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,17:00:00,18:30:00,G7E5
Kialla,Total Body Fit 24/7,7953 Goulburn Valley Highway,VIC,3631,2021-09-28,28/09/2021,5:00pm - 6:30pm,Case attended venue,2021-10-02,02/10/2021,21:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,17:00:00,18:30:00,G5T2
Kialla,Total Body Fit 24/7,7953 Goulburn Valley Highway,VIC,3631,2021-09-29,29/09/2021,5:00pm - 6:30pm,Case attended venue,2021-10-02,02/10/2021,21:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,17:00:00,18:30:00,G2N9
Hastings,The Bays Aged Care,86 Victoria Street,VIC,3915,2021-09-25,25/09/2021,12:00am - 11:59pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,A2E8
Hastings,The Bays Aged Care,86 Victoria Street,VIC,3915,2021-09-26,26/09/2021,12:00am - 11:59pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,C3B5
Hastings,The Bays Aged Care,86 Victoria Street,VIC,3915,2021-09-27,27/09/2021,12:00am - 11:59pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,G9W7
Hastings,The Bays Aged Care,86 Victoria Street,VIC,3915,2021-09-28,28/09/2021,12:00am - 11:59pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,G7C5
Hastings,The Bays Aged Care,86 Victoria Street,VIC,3915,2021-09-30,30/09/2021,12:00am - 11:59pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,G9W8
Hastings,The Bays Aged Care,86 Victoria Street,VIC,3915,2021-10-01,01/10/2021,12:00am - 11:59pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,00:00:00,23:59:00,F7P9
Lalor,Arabic Assembly of God,33-37 Williams Street,VIC,3075,2021-09-25,25/09/2021,6:30pm - 8:30pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,18:30:00,20:30:00,G8F8
Lalor,Arabic Assembly of God,33-37 Williams Street,VIC,3075,2021-09-26,26/09/2021,10:30am - 1:00pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,10:30:00,13:00:00,G5K3
Castlemaine,Nurture One Ray Street Children's Centre,56 Ray Street,VIC,3450,2021-09-27,27/09/2021,8:20am - 9:15am,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:20:00,09:15:00,F3Y6
Castlemaine,Nurture One Ray Street Children's Centre,56 Ray Street,VIC,3450,2021-09-27,27/09/2021,5:40pm - 6:40pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:40:00,18:40:00,F6P9
Castlemaine,Nurture One Ray Street Children's Centre,56 Ray Street,VIC,3450,2021-09-28,28/09/2021,8:20am - 9:15am,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:20:00,09:15:00,F6X7
Castlemaine,Nurture One Ray Street Children's Centre,56 Ray Street,VIC,3450,2021-09-28,28/09/2021,4:35pm - 5:35pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,16:35:00,17:35:00,F6H9
Castlemaine,Nurture One Ray Street Children's Centre,56 Ray Street,VIC,3450,2021-09-29,29/09/2021,9:15am - 9:55am,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:15:00,09:55:00,F3W2
Castlemaine,Nurture One Ray Street Children's Centre,56 Ray Street,VIC,3450,2021-09-29,29/09/2021,5:20pm - 6:00pm,Case attended venue,2021-10-02,02/10/2021,20:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:20:00,18:00:00,F6F7
Castlemaine,Maxi IGA Castlemaine,Hargraves Street,VIC,3450,2021-09-27,27/09/2021,8:45am - 9:20am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:45:00,09:20:00,C8H8
Castlemaine,Maxi IGA Castlemaine,Hargraves Street,VIC,3450,2021-09-28,28/09/2021,8:51am - 9:40am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:51:00,09:40:00,D6W3
Castlemaine,Maxi IGA Castlemaine,Hargraves Street,VIC,3450,2021-09-29,29/09/2021,9:15am - 9:55am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:15:00,09:55:00,E3E7
Castlemaine,Cookie Crumbs,5/50 Mostyn Street,VIC,3450,2021-09-27,27/09/2021,8:50am - 9:25am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:50:00,09:25:00,B2V6
Castlemaine,Cookie Crumbs,5/50 Mostyn Street,VIC,3450,2021-09-28,28/09/2021,8:40am - 9:15am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:40:00,09:15:00,C6Q8
Castlemaine,Cookie Crumbs,5/50 Mostyn Street,VIC,3450,2021-09-29,29/09/2021,9:08am - 9:42am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:08:00,09:42:00,C6N5
Castlemaine,Kmart Castlemaine K Hub,43 Mostyn Street,VIC,3450,2021-09-27,27/09/2021,9:17am - 9:59am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:17:00,09:59:00,C4N2
Castlemaine,Kmart Castlemaine K Hub,43 Mostyn Street,VIC,3450,2021-09-28,28/09/2021,9:33am - 10:15am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:33:00,10:15:00,E2Z7
Castlemaine,Hot Variety Castlemaine,190-194 Barker Street,VIC,3450,2021-09-27,27/09/2021,9:31am - 10:30am,Case attended venue,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:31:00,10:30:00,E5Y8
Castlemaine,Stocks Gifts & Gallery,35 Mostyn Street,VIC,3450,2021-09-27,27/09/2021,10:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:00:00,17:30:00,E8J8
Castlemaine,Stocks Gifts & Gallery,35 Mostyn Street,VIC,3450,2021-09-28,28/09/2021,10:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,18:30:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:00:00,17:30:00,E9L6
Strathtulloh,Aspire Childcare Atherstone Estate,1 Ladbroke Street,VIC,3338,2021-09-28,28/09/2021,8:00am - 8:30am,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,16:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:00:00,08:30:00,E7T9
Strathtulloh,Aspire Childcare Atherstone Estate,1 Ladbroke Street,VIC,3338,2021-09-28,28/09/2021,5:00pm - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,16:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,17:00:00,17:30:00,C4J8
Strathtulloh,Aspire Childcare Atherstone Estate,1 Ladbroke Street,VIC,3338,2021-09-27,27/09/2021,8:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,16:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:00:00,17:30:00,C7G4
St. Kilda,Bunny Bar        ,109 Fitzroy Street,VIC,3182,2021-09-26,26/09/2021,11:00am - 9:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,16:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:00:00,21:30:00,E5A7
Hampton Park,McDonald's Hampton Park,535 South Gippsland Highway,VIC,3976,2021-09-26,26/09/2021,8:15am - 11:30am,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,16:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:15:00,11:30:00,E8D3
Preston,E & S Preston Appliance Store,85 Chifley Drive,VIC,3072,2021-09-27,27/09/2021,9:00am - 6:00pm,Case attended venue.,2021-10-02,02/10/2021,16:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,18:00:00,E2T8
Fitzroy North,FROEBEL Fitzroy North Early Learning Centre,138 Barkly Street,VIC,3068,2021-09-28,28/09/2021,8:00am - 4:30pm,Case attended venue.,2021-10-02,02/10/2021,16:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,16:30:00,C2K6
Sydenham,Sydenham Childrens Centre,7 Community Hub,VIC,3037,2021-09-27,27/09/2021,9:30am - 6:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,16:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:30:00,18:30:00,A7G8
Sydenham,Sydenham Childrens Centre,7 Community Hub,VIC,3037,2021-09-28,28/09/2021,9:30am - 6:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,16:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:30:00,18:30:00,D3G7
Sydenham,Sydenham Childrens Centre,7 Community Hub,VIC,3037,2021-09-29,29/09/2021,9:30am - 1:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,16:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:30:00,13:00:00,D9R3
Malvern,Malvern Central School TheirCare Holiday Program,2B Spring Road,VIC,3144,2021-09-27,27/09/2021,8:30am - 6:30pm,Case attended venue,2021-10-02,02/10/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:30:00,18:30:00,A6K4
Malvern,Malvern Central School TheirCare Holiday Program,2B Spring Road,VIC,3144,2021-09-28,28/09/2021,8:30am - 6:30pm,Case attended venue,2021-10-02,02/10/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:30:00,18:30:00,A9F7
Malvern,Malvern Central School TheirCare Holiday Program,2B Spring Road,VIC,3144,2021-09-29,29/09/2021,8:30am - 6:30pm,Case attended venue,2021-10-02,02/10/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:30:00,18:30:00,E3J6
Castlemaine,Vinnies Castlemaine,244 Barker Street,VIC,3450,2021-09-27,27/09/2021,12:38pm - 1:15pm,Case attended venue,2021-10-02,02/10/2021,14:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:38:00,13:15:00,C9L8
Werribee,Chatterbox Cafe,63 Watton Street,VIC,3030,2021-09-24,24/09/2021,7:00am - 3:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,15:30:00,E3P9
Werribee,Chatterbox Cafe,63 Watton Street,VIC,3030,2021-09-25,25/09/2021,5:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,05:00:00,17:30:00,C2R2
Werribee,Chatterbox Cafe,63 Watton Street,VIC,3030,2021-09-26,26/09/2021,5:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,05:00:00,17:30:00,E6M8
Werribee,Chatterbox Cafe,63 Watton Street,VIC,3030,2021-09-27,27/09/2021,5:00am - 3:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,05:00:00,15:30:00,D5C9
Warrnambool,Mahogany Motel,463 Raglan Parade,VIC,3280,2021-09-24,24/09/2021,12:00pm - 2:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:00:00,14:00:00,D3G8
Warrnambool,Mahogany Motel,463 Raglan Parade,VIC,3280,2021-09-27,27/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,00:00:00,23:59:00,D3C6
Warrnambool,Mahogany Motel,463 Raglan Parade,VIC,3280,2021-09-28,28/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,00:00:00,23:59:00,C2N3
Warrnambool,Mahogany Motel,463 Raglan Parade,VIC,3280,2021-09-29,29/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,00:00:00,23:59:00,C4Q4
Warrnambool,Mahogany Motel,463 Raglan Parade,VIC,3280,2021-09-30,30/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,00:00:00,23:59:00,C8R3
Warrnambool,Mahogany Motel,463 Raglan Parade,VIC,3280,2021-10-01,01/10/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,00:00:00,23:59:00,A4T6
Narre Warren,Walker Donuts Westfield Fountain Gate,25-55 Overland Drive,VIC,3805,2021-09-29,29/09/2021,7:00am - 12:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,12:00:00,C9V6
Sunbury,Between 2 Buns,107 Oshanassy Street,VIC,3429,2021-09-28,28/09/2021,12:00pm - 9:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,12:00:00,21:00:00,E4T4
Werribee,Chemist Warehouse,283-285 Heaths Road,VIC,3030,2021-09-28,28/09/2021,1:00pm - 9:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-02,02/10/2021,10:10:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:00:00,21:30:00,E5L6
Warrnambool,Warrnambool Football Netball Club,42 Cramer Street,VIC,3280,2021-09-28,28/09/2021,7:00am - 12:00pm,Case attended venue,2021-10-02,02/10/2021,09:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:00:00,12:00:00,E2Y7
Warrnambool,Tobacconist Northpoint,Hopkins Highway,VIC,3280,2021-09-27,27/09/2021,9:10am - 9:40am,Case attended venue,2021-10-02,02/10/2021,09:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:10:00,09:40:00,E4R7
Kerang,Atkinson Park Playground,Corner Murray Valley Highway and Museum Drive,VIC,3579,2021-09-26,26/09/2021,10:00am - 11:10am,Case attended venue,2021-10-01,01/10/2021,22:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,10:00:00,11:10:00,E5G4
Shepparton,Pat & Tina Service Station,176 Numurkah Road,VIC,3630,2021-09-27,27/09/2021,8:00am - 8:40am,Case attended venue,2021-10-01,01/10/2021,22:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:00:00,08:40:00,C6J5
Fawkner,McDonald's Fawkner,1410 Sydney Road,VIC,3060,2021-09-27,27/09/2021,1:00pm - 9:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,22:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:00:00,21:30:00,E8P2
Warrnambool,Coles Warrnambool Northpoint ,72-80 Hopkins Highway,VIC,3280,2021-09-27,27/09/2021,9:20am - 10:10am,Case attended venue,2021-10-01,01/10/2021,22:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,09:20:00,10:10:00,E8X3
Warrnambool,Premix King,159B Lava Street,VIC,3280,2021-09-28,28/09/2021,7:30pm - 8:30pm,Case attended venue,2021-10-01,01/10/2021,22:40:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,19:30:00,20:30:00,D7R3
Castlemaine,Castlemaine Health Main Entrance and Vaccination Clinic,142 Cornish Street,VIC,3450,2021-09-27,27/09/2021,8:27am - 10:07am,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,22:40:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,08:27:00,10:07:00,A9Q3
Romsey,Romsey Compounding Pharmacy,107/113 Main Street,VIC,3434,2021-09-27,27/09/2021,2:30pm - 3:30pm,Case attended venue,2021-10-01,01/10/2021,22:40:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,14:30:00,15:30:00,A4L6
Seaford,Gelato UNOU,125A Nepean Highway,VIC,3198,2021-09-27,27/09/2021,1:00pm - 6:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,22:40:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:00:00,18:00:00,A4Q8
East Bendigo,Beaumont Tiles and Choice Flooring,88-94 Strickland Road,VIC,3350,2021-09-29,29/09/2021,4:45pm - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,16:45:00,17:30:00,B5Y9
East Warrnambool,East Warrnambool Fish and Chips,4 Nicholson Street,VIC,3280,2021-09-28,28/09/2021,1:15pm - 2:00pm,Case attended venue,2021-10-01,01/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:15:00,14:00:00,C9U7
East Warrnambool,East Warrnambool Milk Bar,4 Nicholson Street,VIC,3280,2021-09-28,28/09/2021,1:15pm - 2:00pm,Case attended venue,2021-10-01,01/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,13:15:00,14:00:00,E3H6
Warrnambool,Hopkins River Milk Bar,8 Hopkins Road,VIC,3280,2021-09-28,28/09/2021,11:30am - 12:30pm,Case attended venue,2021-10-01,01/10/2021,22:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:30:00,12:30:00,E5P3
Bacchus Marsh,Bacchus Marsh Veterinary Centre,7 Clifton Drive,VIC,3340,2021-09-27,27/09/2021,11:30am - 1:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-01,01/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:30:00,13:00:00,D4M8
